policy,previous_policy,perturbation_rate,sample,objective,access_cost,hit_ratio,local_hit_ratio,cooperative_hit_ratio,origin_miss_ratio,replication_cost,redundancy_cost,redundancy_ratio,relocation_cost,selected_policy
online_dqn,online_dqn,0.05,6,3.3285996503208466,3.1910499784078468,0.9667619296447619,0.12056457753734369,0.8461973521074182,0.03323806922784761,3.210526315789474,0.003372642591657872,0.0015217391304347828,0.3157894736842105,
online_dqn,online_dqn,0.05,7,2.247337775134841,2.116444368995255,0.9999999997058981,0.11620944593787978,0.8837905537680184,0.0,3.263157894736842,0.0029443705165267137,0.0013253194536241466,0.3157894736842105,
online_dqn,online_dqn,0.05,8,3.275059045809486,3.1465905773410174,0.9695755233082713,0.11380336601804528,0.855772157290226,0.030424476458898023,3.1666666666666665,0.0028778778778778785,0.0014243136126825835,0.3333333333333333,
online_dqn,online_dqn,0.05,9,6.443174371229712,6.315387753967288,0.8720782151212916,0.12243137686164118,0.7496468382596504,0.12792178458767012,3.125,0.0032103676256902067,0.0017338630567000186,0.1875,
online_dqn,online_dqn,0.05,10,3.1069454987413683,2.971844268478848,0.9741859596041549,0.12318926865959333,0.8509966909445615,0.02581403958093789,3.2222222222222223,0.0031846362491523787,0.0015071978727306066,0.3333333333333333,
online_dqn,online_dqn,0.05,11,3.039473477617973,2.919604712418138,0.97531059514241,0.11723405081092526,0.8580765443314847,0.02468940461250512,3.1578947368421053,0.0025658085929732787,0.0011247217528897466,0.2631578947368421,
adaptive_tacc,online_dqn,0.05,0,3.354703454407224,3.227204665295532,0.9664350333364887,0.11780787267101307,0.8486271606654756,0.033564965809798904,3.0555555555555554,0.003317833962995254,0.0015751471670345846,0.16666666666666666,online_dqn
adaptive_tacc,online_dqn,0.05,1,3.3279955218651027,3.190445849952103,0.9667619296447619,0.12056457753734369,0.8461973521074182,0.03323806922784761,3.210526315789474,0.003372642591657872,0.0014979212521398877,0.3157894736842105,online_dqn
adaptive_tacc,online_dqn,0.05,2,2.2295924741799573,2.1089978795853623,0.9999999993247911,0.11859140500891954,0.8814085943158716,0.0,3.2,0.0024774774774774773,0.0010735423750157411,0.3,online_dqn
adaptive_tacc,online_dqn,0.05,3,3.6186457200984816,3.491288362741124,0.9584724592795182,0.1222450088761333,0.8362274504033849,0.04152753984089941,3.2222222222222223,0.0028778778778778785,0.0013951504336119716,0.2777777777777778,online_dqn
adaptive_tacc,online_dqn,0.05,4,4.570052165539552,4.42956829457181,0.9301816165971104,0.12904467832413502,0.8011369382729754,0.06981838148203678,3.25,0.0033602150537634413,0.0018458652618135371,0.375,online_dqn
adaptive_tacc,online_dqn,0.05,5,2.2383426039767196,2.10865908174481,0.9999999993247911,0.11859140500891954,0.8814085943158716,0.0,3.2,0.002982417901772741,0.001287964357429719,0.3,online_dqn
adaptive_tacc,online_dqn,0.05,6,3.3285996503208466,3.1910499784078468,0.9667619296447619,0.12056457753734369,0.8461973521074182,0.03323806922784761,3.210526315789474,0.003372642591657872,0.0015217391304347828,0.3157894736842105,online_dqn
adaptive_tacc,online_dqn,0.05,7,2.247337775134841,2.116444368995255,0.9999999997058981,0.11620944593787978,0.8837905537680184,0.0,3.263157894736842,0.0029443705165267137,0.0013253194536241466,0.3157894736842105,online_dqn
adaptive_tacc,online_dqn,0.05,8,3.275059045809486,3.1465905773410174,0.9695755233082713,0.11380336601804528,0.855772157290226,0.030424476458898023,3.1666666666666665,0.0028778778778778785,0.0014243136126825835,0.3333333333333333,online_dqn
adaptive_tacc,online_dqn,0.05,9,6.443174371229712,6.315387753967288,0.8720782151212916,0.12243137686164118,0.7496468382596504,0.12792178458767012,3.125,0.0032103676256902067,0.0017338630567000186,0.1875,online_dqn
adaptive_tacc,online_dqn,0.05,10,3.1069454987413683,2.971844268478848,0.9741859596041549,0.12318926865959333,0.8509966909445615,0.02581403958093789,3.2222222222222223,0.0031846362491523787,0.0015071978727306066,0.3333333333333333,online_dqn
adaptive_tacc,online_dqn,0.05,11,3.039473477617973,2.919604712418138,0.97531059514241,0.11723405081092526,0.8580765443314847,0.02468940461250512,3.1578947368421053,0.0025658085929732787,0.0011247217528897466,0.2631578947368421,online_dqn
keep_current,online_dqn,0.1,0,3.7539165437169917,3.6341315974804322,0.9538031596069535,0.12142349368271728,0.8323796659242362,0.04619684028956625,3.1666666666666665,0.0031362007168458787,0.0015554434515230142,0.0,
keep_current,online_dqn,0.1,1,3.700117844646132,3.6150170702474447,0.9547261392341598,0.11066187789444537,0.8440642613397145,0.04527386098497493,3.0588235294117645,0.0013291279894695454,0.0006877366167781193,0.0,
